combined_barrier
Nodes,threads,avg-barrier-time(us)
2,2,13270.6502
2,3,20638.3465
2,4,42552.3803
2,5,49851.9217
2,6,77126.6325
2,7,85034.1316
2,8,92756.9789
2,9,123416.5532
2,10,139205.1895
2,11,156046.7297
2,12,174621.1498

3,2,15196.3800
3,3,31513.4319
3,4,51771.1886
3,5,86885.6484
3,6,114072.7619
3,7,124481.9208
3,8,151137.5236
3,9,184313.2899
3,10,206781.8596
3,11,228598.5949
3,12,246142.8505

4,2,15605.6846
4,3,32642.6957
4,4,60481.9786
4,5,81928.5601
4,6,105709.0484
4,7,124838.3448
4,8,138782.5573
4,9,174129.5823
4,10,194211.2815
4,11,225802.7812
4,12,242125.5471

5,2,20325.1577
5,3,39670.9900
5,4,80151.7485
5,5,105799.3998
5,6,134450.2743
5,7,162056.7532
5,8,187202.7884
5,9,214637.6605
5,10,247796.3913
5,11,272664.9036
5,12,303430.7631

6,2,19962.0483
6,3,43206.5639
6,4,78050.4149
6,5,107609.4058
6,6,138748.6143
6,7,166785.6395
6,8,195750.3945
6,9,221445.5147
6,10,251743.9935
6,11,278574.7768
6,12,308708.2809

7,2,37179.2913
7,3,44933.8328
7,4,98250.2776
7,5,117800.1974
7,6,151741.5859
7,7,193510.3157
7,8,221145.9079
7,9,254486.9143
7,10,303192.0400
7,11,347049.8629
7,12,358506.1927

8,2,21830.0601
8,3,43985.9295
8,4,80145.1266
8,5,104406.7292
8,6,135329.2119
8,7,167531.3798
8,8,195849.5398
8,9,221156.2810
8,10,253771.8849
8,11,284297.4406
8,12,312599.6326

